HRV Method,IBI Info,,Time Domain,,,,,,,,,,,,,,Freq Domain: Welch,,,,,,,,,,,,,Freq Domain: AR,,,,,,,,,,,,,Freq Domain: LS,,,,,,,,,,,,,Poincare,,Nonlinear,,,,Time-Freq: AR,,,,,,,,,,,,,,Time-Freq: Lomb,,,,,,,,,,,,,,Time-Freq: Wavelet,,,,,,,,,,,,,
HRV Variable,ibi,outliers,max,min,mean,median,SDNN,SDANN,NNx,pNNx,RMSSD,SDNNi,meanHR,sdHR,HRVTi,TINN,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,SD1,SD2,sampen,alpha,alpha1,alpha2,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF
Subject,(count),(count),(ms),(ms),(ms),(ms),(ms),(ms),(count),(%),(ms),(ms),(bpm),(bpm),(ms),(ms),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms),(ms),,,,,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),
20161108_S1486201G_TM,1392,13,708,604,646,644,18.8,7,0,0,6.4,166.8,93,2.6,10.1,58.5,35.4,14.19,3.48,53.07,66.7,26.7,6.6,0.803,0.197,4.079,0.02,0.07,0.24,6.85,4.61,1.08,12.54,54.6,36.8,8.6,0.811,0.189,4.282,0,0.04,0.15,0.011,0.005,0.002,0.017,63.4,27.7,8.9,0.757,0.243,3.118,0.02,0.07,0.35,4.6,26.2,1.433,1.27,1.122,1.282,8.27,4.71,1.21,14.19,58.3,33.2,8.5,0.795,0.205,3.888,0,0.04,0.15,Inf,0.08,0.03,0.01,0.12,64.3,27.5,8.2,0.77,0.23,3.339,0.02,0.04,0.38,Inf,60.72,32.8,7.19,100.71,60.3,32.6,7.1,0.82,0.18,4.564,0.02,0.04,0.15,Inf
20161108_S1486201G_SC,1118,7,720,584,643.8,644,27.6,9,0,0,7.6,186.8,93.4,4,9.5,80.8,31.65,24.76,3.9,60.31,52.5,41.1,6.5,0.864,0.136,6.351,0.02,0.06,0.17,6.07,5.85,1.03,12.95,46.9,45.2,7.9,0.851,0.149,5.7,0.03,0.04,0.15,0.01,0.008,0.002,0.019,51,40.7,8.3,0.83,0.17,4.89,0.02,0.07,0.17,5.4,38.7,1.46,1.231,1.173,1.185,6.07,5.85,1.03,12.95,46.9,45.2,7.9,0.851,0.149,5.7,0.03,0.04,0.15,Inf,0.07,0.08,0.01,0.16,44.5,48.9,6.6,0.881,0.119,7.373,0.02,0.07,0.17,Inf,48.52,59.4,10.21,118.13,41.1,50.3,8.6,0.853,0.147,5.819,0.02,0.05,0.15,Inf
20161108_S1486201G_IR,1790,12,736,580,620,604,35.9,9.3,1,0.1,7.3,146,97.1,5.2,3.5,24.4,20.93,13.51,3.72,38.16,54.8,35.4,9.7,0.784,0.216,3.633,0.03,0.06,0.2,3.03,2.29,1.1,6.42,47.2,35.6,17.2,0.675,0.325,2.077,0,0.04,0.4,0.01,0.006,0.002,0.018,58.4,32.2,9.4,0.774,0.226,3.417,0.03,0.06,0.38,5.2,50.5,1.417,1.281,0.983,1.345,4.86,3.23,1.27,9.35,52,34.5,13.5,0.718,0.282,2.549,0,0.04,0.4,Inf,0.05,0.03,0.01,0.1,56,32.9,11,0.749,0.251,2.986,0.04,0.06,0.3,Inf,44.06,30.46,9.36,83.87,52.5,36.3,11.2,0.765,0.235,3.255,0.03,0.06,0.4,Inf
20161111_S1279578E_trim_SC,1468,18,708,568,634.7,640,23.5,9,0,0,5.9,160.2,94.7,3.5,8.3,87.5,23.66,18.61,4.51,46.78,50.6,39.8,9.6,0.805,0.195,4.125,0.01,0.05,0.17,5.7,7.07,1.64,14.4,39.6,49.1,11.4,0.812,0.188,4.314,0.04,0.04,0.15,0.006,0.004,0.001,0.011,54.6,37.1,8.3,0.816,0.184,4.444,0.02,0.08,0.16,4.2,33,1.462,1.263,1.237,1.281,5.7,7.07,1.64,14.4,39.5,49.1,11.4,0.812,0.188,4.314,0.04,0.04,0.15,Inf,0.08,0.07,0.02,0.16,48.3,42,9.7,0.812,0.188,4.325,0.02,0.05,0.17,Inf,33.61,51.6,12.53,97.73,34.4,52.8,12.8,0.805,0.195,4.118,0.02,0.05,0.15,Inf
20161111_S1279578E_trim_AC,1669,635,744,188,559.4,568,71.1,57.2,100,9.7,82.3,178.5,110.5,26.5,4.6,139,2277.03,2997.21,1819.95,7094.19,32.1,42.2,25.7,0.622,0.378,1.647,0.03,0.06,0.15,342.29,702.79,898.59,1943.67,17.6,36.2,46.2,0.439,0.561,0.782,0,0.04,0.15,0.007,0.017,0.043,0.067,10.4,25.6,63.9,0.286,0.714,0.401,0.01,0.07,0.35,58.2,82,0.51,0.655,0.744,0.61,951.2,1359.47,852.76,3163.43,30.1,43,27,0.615,0.385,1.594,0.04,0.04,0.15,0.33333,1.68,3.76,9.36,14.8,11.3,25.4,63.3,0.286,0.714,0.401,0.01,0.06,0.35,0,2398.59,5692.73,4074.41,12165.73,19.7,46.8,33.5,0.583,0.417,1.397,0.03,0.04,0.21,Inf
20161111_S1507060I_trim_TM,1419,511,736,232,645.2,672,98.2,61,103,11.4,95.6,211.1,97,26.9,4.6,110.3,2382.05,6830.74,3448.05,12660.84,18.8,54,27.2,0.665,0.335,1.981,0.02,0.06,0.16,1461.23,3776.12,1478.21,6715.56,21.8,56.2,22,0.719,0.281,2.555,0.04,0.06,0.15,0.005,0.007,0.012,0.024,18.9,30.5,50.5,0.377,0.623,0.604,0.02,0.06,0.23,67.6,121.3,0.253,0.862,0.86,0.917,1460.68,3776.1,1478.18,6714.96,21.8,56.2,22,0.719,0.281,2.555,0.04,0.06,0.15,Inf,7.79,10.42,15.52,33.73,23.1,30.9,46,0.402,0.598,0.672,0.02,0.1,0.27,0,3212.41,11992.34,6112.65,21317.4,15.1,56.3,28.7,0.662,0.338,1.962,0.02,0.06,0.15,Inf
20161111_S1507060I_trim_SC,1281,39,756,488,660,672,50.7,12.6,5,0.4,11,183.5,91.5,7.2,11.6,209.4,48.12,56.01,25.15,129.28,37.2,43.3,19.5,0.69,0.31,2.227,0.02,0.06,0.25,7.8,14.21,10.19,32.19,24.2,44.1,31.6,0.582,0.418,1.395,0.04,0.04,0.29,0.007,0.006,0.003,0.016,46.6,36.7,16.8,0.686,0.314,2.184,0.02,0.07,0.29,7.8,71.3,0.555,1.118,0.999,1.137,9.03,19.08,9.92,38.03,23.7,50.2,26.1,0.658,0.342,1.923,0,0.07,0.29,3,0.09,0.1,0.05,0.25,36.3,41.9,21.9,0.657,0.343,1.914,0.03,0.06,0.26,1,69.41,116.78,50.73,236.93,29.3,49.3,21.4,0.697,0.303,2.302,0.02,0.06,0.3,Inf
20161111_S1507060I_trim_AC,1133,107,776,312,718.6,724,40.3,28.2,16,1.6,45.4,199.8,84,8.6,3.7,101.5,1329.8,753.87,642.67,2726.35,48.8,27.7,23.6,0.54,0.46,1.173,0.03,0.09,0.24,177.09,177.77,142.71,497.58,35.6,35.7,28.7,0.555,0.445,1.246,0,0.04,0.24,0.013,0.011,0.04,0.064,19.7,18,62.3,0.224,0.776,0.289,0.02,0.07,0.24,32.2,47,1.055,0.788,0.713,0.781,377.99,253.83,189.15,820.98,46,30.9,23,0.573,0.427,1.342,0,0.04,0.26,1,0.51,0.61,1.42,2.54,19.9,24,56.1,0.3,0.7,0.428,0.02,0.04,0.29,0,1458.11,1295.51,1197.35,3950.96,36.9,32.8,30.3,0.52,0.48,1.082,0.02,0.09,0.24,Inf
20161114_S1644655F_trim_TM,1735,89,628,432,560.7,560,12.3,7.3,1,0.1,8,140.3,107.1,2.4,3.2,36.8,59.48,18.55,6.33,84.35,70.5,22,7.5,0.746,0.254,2.932,0,0.05,0.21,23.77,5.94,1.52,31.22,76.1,19,4.9,0.796,0.204,3.903,0,0.04,0.15,0.013,0.006,0.004,0.024,57.4,26,16.6,0.61,0.39,1.564,0.01,0.05,0.18,5.7,16.5,1.593,1.13,0.907,1.194,27.55,5.88,1.63,35.06,78.6,16.8,4.7,0.783,0.217,3.598,0,0.04,0.15,Inf,0.06,0.04,0.02,0.12,51.3,30.4,18.3,0.625,0.375,1.664,0.02,0.04,0.18,4,1137.13,888.95,27.05,2053.12,55.4,43.3,1.3,0.97,0.03,32.866,0.02,0.04,0.15,Inf
