HRV Method,IBI Info,,Time Domain,,,,,,,,,,,,,,Freq Domain: Welch,,,,,,,,,,,,,Freq Domain: AR,,,,,,,,,,,,,Freq Domain: LS,,,,,,,,,,,,,Poincare,,Nonlinear,,,,Time-Freq: AR,,,,,,,,,,,,,,Time-Freq: Lomb,,,,,,,,,,,,,,Time-Freq: Wavelet,,,,,,,,,,,,,
HRV Variable,ibi,outliers,max,min,mean,median,SDNN,SDANN,NNx,pNNx,RMSSD,SDNNi,meanHR,sdHR,HRVTi,TINN,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,SD1,SD2,sampen,alpha,alpha1,alpha2,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF
Subject,(count),(count),(ms),(ms),(ms),(ms),(ms),(ms),(count),(%),(ms),(ms),(bpm),(bpm),(ms),(ms),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms),(ms),,,,,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),
rr_f1o01.ibi,7168,0,1128,796,1011.5,1016,48,33,42,0.6,15.5,30.7,59.5,2.9,10.4,207.5,1659,339.81,58.91,2057.71,80.6,16.5,2.9,0.852,0.148,5.768,0,0.04,0.26,763.83,133.22,25.21,922.26,82.8,14.4,2.7,0.841,0.159,5.284,0,0.04,0.26,0.005,0.001,0,0.007,79.4,18,2.6,0.873,0.127,6.854,0,0.04,0.26,11,67,1.403,1.125,1.544,0.969,136.26,155.57,23.09,314.92,43.3,49.4,7.3,0.871,0.129,6.738,0.04,0.04,0.25,4.6706,4.82,11.84,2.76,19.41,24.8,61,14.2,0.811,0.189,4.295,0.04,0.04,0.26,4.6707,847.2,347.03,61.77,1256,67.5,27.6,4.9,0.849,0.151,5.618,0.01,0.04,0.25,Inf
rr_f1o02.ibi,6822,0,1532,492,1061.8,1064,43.8,27.2,64,0.9,50.3,26.1,56.6,3,2.7,195,642.61,191.09,760.02,1593.72,40.3,12,47.7,0.201,0.799,0.251,0,0.08,0.31,262.11,77.87,267.45,607.44,43.2,12.8,44,0.226,0.774,0.291,0,0.04,0.34,0.004,0.002,0.003,0.009,47.3,20.4,32.3,0.387,0.613,0.63,0.01,0.05,0.39,35.6,50.7,1.359,0.836,0.59,0.862,43.12,80.34,297.17,420.63,10.3,19.1,70.6,0.213,0.787,0.27,0.04,0.04,0.32,2.2721,1.58,4.83,8.6,15.01,10.5,32.2,57.3,0.36,0.64,0.562,0.04,0.04,0.32,1.8882,255.25,191.13,723.77,1170.15,21.8,16.3,61.9,0.209,0.791,0.264,0.02,0.08,0.33,57.6437
rr_f1o03.ibi,7227,0,1344,472,1003.6,1004,51,36.8,260,3.6,37.9,30.4,59.9,3.3,3.9,218,1143.57,511.36,337.75,1992.68,57.4,25.7,16.9,0.602,0.398,1.514,0,0.04,0.31,478.93,170.47,137.58,786.98,60.9,21.7,17.5,0.553,0.447,1.239,0,0.04,0.33,0.007,0.003,0.002,0.012,60.4,26.4,13.2,0.667,0.333,2.002,0,0.04,0.32,26.8,66.9,1.686,0.996,1.084,0.958,102.9,216.4,132.94,452.23,22.8,47.9,29.4,0.619,0.381,1.628,0.04,0.04,0.31,3.6796,4.09,16.7,8.81,29.6,13.8,56.4,29.8,0.655,0.345,1.895,0.04,0.04,0.31,3.66,663.65,528.33,332.33,1524.31,43.5,34.7,21.8,0.614,0.386,1.59,0.01,0.04,0.32,129.6667
rr_f1o04.ibi,6229,0,7280,684,1162.9,1168,117.3,93.1,800,12.8,120.4,33.8,51.9,4.1,1.4,618.4,49544.55,53988.74,2733.47,106266.76,46.6,50.8,2.6,0.952,0.048,19.751,0.02,0.04,0.22,8690.02,7382.32,451.71,16524.05,52.6,44.7,2.7,0.942,0.058,16.343,0.01,0.04,0.15,0.004,0.001,0.003,0.008,50.1,18.6,31.3,0.373,0.627,0.594,0.02,0.05,0.33,85.1,142.3,1.43,0.925,0.667,0.848,8342.92,19764.85,1172.98,29280.74,28.5,67.5,4,0.944,0.056,16.85,0.04,0.05,0.15,5.971,34.39,113.08,178.58,326.04,10.5,34.7,54.8,0.388,0.612,0.633,0.04,0.04,0.39,4.6585,33915.79,44422.26,2929.39,81267.44,41.7,54.7,3.6,0.938,0.062,15.164,0.02,0.04,0.15,401.3611
rr_f1o05.ibi,5729,0,1272,744,1087.9,1084,43.7,29.3,9,0.2,15.9,30.6,55.2,2.3,6.8,214.5,1104.75,172.84,45.43,1323.02,83.5,13.1,3.4,0.792,0.208,3.804,0,0.04,0.35,581.29,64.62,24.17,670.08,86.7,9.6,3.6,0.728,0.272,2.674,0,0.04,0.34,0.007,0.001,0,0.008,87.3,10.5,2.2,0.825,0.175,4.723,0,0.06,0.31,11.3,60.8,1.071,1.214,1.494,1.077,100.82,86.07,16.89,203.77,49.5,42.2,8.3,0.836,0.164,5.096,0.04,0.04,0.3,23.3529,3.88,6.7,1.73,12.31,31.5,54.4,14.1,0.795,0.205,3.872,0.04,0.04,0.18,21.1667,807.18,180.58,45.5,1033.27,78.1,17.5,4.4,0.799,0.201,3.968,0.01,0.04,0.32,1779.4286
rr_f1o06.ibi,6230,0,1448,584,1168.2,1168,29.4,20.1,64,1,35.1,12.4,51.4,1.6,2,108,200.35,95.27,347.04,642.66,31.2,14.8,54,0.215,0.785,0.275,0,0.1,0.28,84.5,32.08,107.62,224.2,37.7,14.3,48,0.23,0.77,0.298,0,0.04,0.27,0.006,0.003,0.006,0.015,41.6,19.2,39.2,0.328,0.672,0.489,0,0.04,0.28,24.8,33.4,2.604,0.828,0.601,0.855,20.48,41.78,146.51,208.77,9.8,20,70.2,0.222,0.778,0.285,0.04,0.12,0.28,0.17476,0.84,3.27,8.32,12.44,6.7,26.3,66.9,0.282,0.718,0.393,0.04,0.04,0.28,0.13189,139.23,98.42,333.68,571.32,24.4,17.2,58.4,0.228,0.772,0.295,0.01,0.04,0.28,19.4123
rr_f1o07.ibi,7149,0,1516,480,1012.2,1016,69.3,52.5,483,6.8,81.7,33.6,59.6,5.5,4.3,259,1144.96,592.8,1760.1,3497.86,32.7,16.9,50.3,0.252,0.748,0.337,0,0.12,0.29,417.44,236.58,617.61,1271.63,32.8,18.6,48.6,0.277,0.723,0.383,0,0.04,0.38,0.004,0.002,0.003,0.009,44.2,25.9,29.9,0.464,0.536,0.864,0.01,0.13,0.29,57.8,79.1,1.844,0.87,0.694,0.915,103.39,252.57,707.16,1063.12,9.7,23.8,66.5,0.263,0.737,0.357,0.04,0.04,0.29,1.0468,4.48,21.51,28.91,54.9,8.2,39.2,52.7,0.427,0.573,0.744,0.04,0.04,0.29,0.86747,678.77,589.9,1709.63,2978.29,22.8,19.8,57.4,0.257,0.743,0.345,0.01,0.04,0.32,22.3011
rr_f1o08.ibi,8487,0,1064,260,849.6,852,46,32,316,3.7,30.7,30.2,70.9,4.4,4.2,201,1131.98,258.25,231,1621.22,69.8,15.9,14.2,0.528,0.472,1.118,0,0.14,0.37,514.76,110.75,106.8,732.3,70.3,15.1,14.6,0.509,0.491,1.037,0,0.04,0.37,0.007,0.002,0.001,0.01,67.3,18.3,14.4,0.559,0.441,1.267,0.01,0.05,0.17,21.7,61.4,1.82,1.039,0.966,1.041,63.52,109.79,86.93,260.24,24.4,42.2,33.4,0.558,0.442,1.263,0.04,0.04,0.37,1.3713,2.87,9.37,8.35,20.58,13.9,45.5,40.6,0.529,0.471,1.121,0.04,0.04,0.38,1.4271,471.35,262.45,223.1,956.91,49.3,27.4,23.3,0.541,0.459,1.176,0.01,0.04,0.36,334.3488
rr_f1o09.ibi,4924,0,1788,592,1470.3,1476,128.1,101.3,1862,37.8,131.4,63.1,41.2,5.1,5.9,411.1,4681.55,3571.87,4025.55,12278.97,38.1,29.1,32.8,0.47,0.53,0.887,0,0.13,0.16,1798.05,1066.92,894.14,3759.12,47.8,28.4,23.8,0.544,0.456,1.193,0,0.04,0.15,0.005,0.004,0.005,0.014,36.1,29.3,34.6,0.458,0.542,0.847,0,0.05,0.32,93,155.6,1.879,0.75,0.825,0.707,569.45,1453.88,1584.5,3607.82,15.8,40.3,43.9,0.479,0.521,0.918,0,0.04,0.16,2.3636,25.72,132.19,179.98,337.89,7.6,39.1,53.3,0.423,0.577,0.734,0.04,0.04,0.33,1.1402,2962.97,3657.65,4003.94,10624.56,27.9,34.4,37.7,0.477,0.523,0.914,0.01,0.05,0.15,130.6
