HRV Method,IBI Info,,Time Domain,,,,,,,,,,,,,,Freq Domain: Welch,,,,,,,,,,,,,Freq Domain: AR,,,,,,,,,,,,,Freq Domain: LS,,,,,,,,,,,,,Poincare,,Nonlinear,,,,Time-Freq: AR,,,,,,,,,,,,,,Time-Freq: Lomb,,,,,,,,,,,,,,Time-Freq: Wavelet,,,,,,,,,,,,,
HRV Variable,ibi,outliers,max,min,mean,median,SDNN,SDANN,NNx,pNNx,RMSSD,SDNNi,meanHR,sdHR,HRVTi,TINN,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,SD1,SD2,sampen,alpha,alpha1,alpha2,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF
Subject,(count),(count),(ms),(ms),(ms),(ms),(ms),(ms),(count),(%),(ms),(ms),(bpm),(bpm),(ms),(ms),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),(ms),(ms),,,,,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),,(ms^2),(ms^2),(ms^2),(ms^2),(%),(%),(%),(%),(%),,(Hz),(Hz),(Hz),
rr_f1o01.ibi,7138,25,1128,868,1012.2,1016,46.7,31.9,42,0.6,15.5,31,59.4,2.8,15.1,211.3,1561.1,327.34,58.69,1947.13,80.2,16.8,3,0.848,0.152,5.578,0,0.04,0.26,730.08,132.65,25.23,887.96,82.2,14.9,2.8,0.84,0.16,5.258,0,0.04,0.26,0.005,0.001,0,0.007,77.8,18.6,3.6,0.839,0.161,5.208,0,0.04,0.27,11,65.2,1.403,1.109,1.539,0.947,130.82,152.32,22.96,306.1,42.7,49.8,7.5,0.869,0.131,6.634,0.04,0.04,0.25,4.5172,4.74,11.65,2.74,19.12,24.8,60.9,14.3,0.81,0.19,4.258,0.04,0.04,0.26,4.9487,797.82,342.84,61.68,1202.33,66.4,28.5,5.1,0.848,0.152,5.558,0.01,0.04,0.25,Inf
rr_f1o02.ibi,6795,32,1172,936,1062,1064,33.7,20.3,26,0.4,15,25.9,56.6,1.8,10.2,147.5,638.13,131.12,54.07,823.32,77.5,15.9,6.6,0.708,0.292,2.425,0,0.04,0.31,262.35,58.4,23.25,344,76.3,17,6.8,0.715,0.285,2.511,0,0.04,0.31,0.006,0.002,0.001,0.01,65.7,22.5,11.7,0.657,0.343,1.918,0.01,0.05,0.31,10.6,46.4,2.425,1.032,1.251,0.924,42.69,58.79,21.3,122.78,34.8,47.9,17.3,0.734,0.266,2.76,0.04,0.04,0.31,2.609,1.69,4.57,2.19,8.45,20,54.1,26,0.675,0.325,2.081,0.04,0.04,0.32,2.2153,254.54,136.11,54.43,445.07,57.2,30.6,12.2,0.714,0.286,2.501,0.02,0.04,0.31,Inf
rr_f1o03.ibi,7179,84,1156,852,1003.9,1004,46.9,33.5,223,3.1,23.6,30.2,59.9,2.8,9,171,1088.93,470.55,141.51,1700.99,64,27.7,8.3,0.769,0.231,3.325,0,0.04,0.32,446.31,163.76,52.67,662.74,67.3,24.7,7.9,0.757,0.243,3.109,0,0.04,0.31,0.008,0.004,0.001,0.014,61.8,30.2,8,0.791,0.209,3.795,0,0.05,0.15,16.7,64.2,1.684,1.025,1.304,0.945,101.86,201.72,55.52,359.11,28.4,56.2,15.5,0.784,0.216,3.633,0,0.04,0.31,4.9136,3.86,16.04,5.53,25.42,15.2,63.1,21.7,0.744,0.256,2.901,0.04,0.04,0.31,4.6463,621.39,500.18,145.1,1266.66,49.1,39.5,11.5,0.775,0.225,3.447,0.01,0.04,0.3,846.7647
rr_f1o04.ibi,6221,4,1468,860,1162.2,1168,86.8,78.4,792,12.7,41.4,30.7,51.9,4,10.5,399,5980.71,916.75,368,7265.46,82.3,12.6,5.1,0.714,0.286,2.491,0.02,0.04,0.28,2752.29,378.24,131.96,3262.49,84.4,11.6,4,0.741,0.259,2.866,0.01,0.04,0.28,0.002,0,0,0.003,84.2,11,4.8,0.698,0.302,2.309,0.02,0.04,0.25,29.3,119.1,1.43,1.123,1.455,0.904,689.08,501.19,145.15,1335.43,51.6,37.5,10.9,0.775,0.225,3.453,0.03,0.04,0.26,5.9565,21.45,38.6,16.5,76.55,28,50.4,21.6,0.701,0.299,2.34,0.04,0.11,0.31,4.1444,5409.57,897.24,374.5,6681.31,81,13.4,5.6,0.706,0.294,2.396,0.02,0.04,0.27,1313.4545
rr_f1o05.ibi,5716,25,1216,960,1088.1,1086,42.8,28.6,3,0.1,11.3,30.6,55.2,2.2,12.7,200,1103.66,172,19.36,1295.02,85.2,13.3,1.5,0.899,0.101,8.884,0,0.04,0.19,571.56,67.14,7.13,645.82,88.5,10.4,1.1,0.904,0.096,9.423,0,0.04,0.33,0.007,0.001,0,0.008,87.7,11,1.4,0.889,0.111,7.97,0,0.04,0.16,8,60,1.07,1.24,1.672,1.078,99.93,86.05,7.64,193.63,51.6,44.4,3.9,0.918,0.082,11.256,0.04,0.04,0.22,30.7692,3.49,6.56,1.17,11.22,31.1,58.5,10.4,0.848,0.152,5.596,0.04,0.04,0.18,25.5333,789.06,180.49,20.28,989.83,79.7,18.2,2,0.899,0.101,8.9,0.01,0.04,0.15,Inf
rr_f1o06.ibi,6167,47,1252,1080,1169.5,1168,19.9,15.7,21,0.3,18.6,11.6,51.3,0.9,6.2,69.9,170.25,47.47,98.89,316.61,53.8,15,31.2,0.324,0.676,0.48,0,0.15,0.27,68.7,16.22,33.69,118.61,57.9,13.7,28.4,0.325,0.675,0.481,0,0.04,0.27,0.007,0.002,0.004,0.013,50.1,15.5,34.4,0.31,0.69,0.45,0.01,0.05,0.27,13.1,24.9,2.602,0.954,0.779,0.948,13.55,20.28,38.51,72.34,18.7,28,53.2,0.345,0.655,0.527,0.04,0.04,0.27,0.18859,0.49,1.62,3.7,5.81,8.4,27.9,63.7,0.305,0.695,0.438,0.04,0.04,0.27,0.11695,92.04,48.18,100.14,240.36,38.3,20,41.7,0.325,0.675,0.481,0.01,0.04,0.27,22.0768
rr_f1o07.ibi,7054,92,1212,808,1013.9,1016,51.3,37.2,377,5.3,31.3,33.3,59.3,3.1,10,252.5,1103.71,469.23,281.52,1854.46,59.5,25.3,15.2,0.625,0.375,1.667,0,0.06,0.28,405.92,189.91,112.05,707.89,57.3,26.8,15.8,0.629,0.371,1.695,0,0.04,0.28,0.008,0.004,0.003,0.015,55.3,26.6,18.1,0.595,0.405,1.471,0.02,0.04,0.26,22.1,69.1,1.841,1.021,1.099,1,96.45,197.68,108.68,402.82,23.9,49.1,27,0.645,0.355,1.819,0.04,0.04,0.27,1.4485,3.68,15.71,10.13,29.51,12.5,53.2,34.3,0.608,0.392,1.551,0.04,0.04,0.28,1.25,659.5,469.03,285.46,1413.98,46.6,33.2,20.2,0.622,0.378,1.643,0.01,0.06,0.26,751.7895
rr_f1o08.ibi,8420,46,984,712,850.7,852,42.4,29.4,286,3.4,23.7,29.1,70.7,3.6,9.1,153,1057.4,238.55,150.86,1446.8,73.1,16.5,10.4,0.613,0.387,1.581,0,0.04,0.37,488.64,99.37,67.09,655.11,74.6,15.2,10.2,0.597,0.403,1.481,0,0.04,0.36,0.005,0.001,0.001,0.007,69.6,17.2,13.2,0.566,0.434,1.303,0.01,0.09,0.39,16.8,57.5,1.819,1.084,1.099,1.058,59.13,105.41,59.12,223.66,26.4,47.1,26.4,0.641,0.359,1.783,0.04,0.04,0.37,1.587,2.2,8.13,5.36,15.69,14,51.8,34.2,0.603,0.397,1.517,0.04,0.04,0.37,1.5301,441.77,242.84,147.06,831.67,53.1,29.2,17.7,0.623,0.377,1.651,0.01,0.04,0.35,Inf
rr_f1o09.ibi,4825,31,1788,1088,1482.8,1480,93.1,71.6,1714,35.5,64.8,57.7,40.6,2.6,10,437.5,4145.98,1837.1,770.27,6753.34,61.4,27.2,11.4,0.705,0.295,2.385,0,0.04,0.17,1575.65,695.97,308.3,2579.92,61.1,27,12,0.693,0.307,2.257,0,0.04,0.15,0.009,0.004,0.003,0.017,54.7,26.3,19,0.58,0.42,1.381,0,0.07,0.18,45.8,123.5,2.182,0.882,1.106,0.795,413.33,760.03,315.2,1488.56,27.8,51.1,21.2,0.707,0.293,2.411,0.04,0.04,0.15,5.4189,14.6,60.97,45.4,120.98,12.1,50.4,37.5,0.573,0.427,1.343,0.04,0.04,0.23,1.7853,2479.4,1879.41,837.91,5196.71,47.7,36.2,16.1,0.692,0.308,2.243,0.01,0.05,0.15,Inf
